time_days,gas_rate_m3_day,cumulative_gas_m3,oil_rate_m3_day,cumulative_oil_m3,field_pressure_bar,water_cut_fraction,water_injection_rate_m3_day,cumulative_injected_water_m3,water_rate_m3_day,cumulative_water_m3
1635.0,57962.984375,253360912.0,24.815814971923828,60728.90234375,275.3931579589844,0.0078888526186347,304.8642883300781,1189889.625,0.1973249763250351,284.9832763671875
1660.0,57556.4765625,254799824.0,25.590951919555664,61368.6796875,275.5935363769531,0.008030244149267673,304.1492004394531,1197493.375,0.2071651816368103,290.16241455078125
1685.0,57098.8203125,256227296.0,26.442569732666016,62029.7421875,275.80108642578125,0.008182935416698456,303.4033508300781,1205078.5,0.21816304326057434,295.6164855957031
1710.0,56594.83984375,257642160.0,27.37500762939453,62714.1171875,276.01708984375,0.008348904550075531,302.6407165527344,1212644.5,0.2304755300283432,301.37835693359375
1735.0,56034.82421875,259043024.0,28.475757598876953,63426.01171875,276.24267578125,0.008527730591595173,301.85833740234375,1220190.875,0.2449222356081009,307.5014343261719
1760.0,55411.421875,260428320.0,29.693204879760742,64168.33984375,276.479736328125,0.008719902485609055,301.0572509765625,1227717.375,0.2611994743347168,314.0314025878906
1785.0,54806.50390625,261798480.0,31.104141235351562,64945.9453125,276.72576904296875,0.008933204226195812,300.2333984375,1235223.125,0.2803642153739929,321.04052734375
1810.0,54160.1640625,263152480.0,32.79177474975586,65765.7421875,276.9803161621094,0.00917267519980669,299.3848876953125,1242707.75,0.3035728633403778,328.62982177734375
1835.0,53517.2890625,264490416.0,34.6778450012207,66632.6875,277.2421569824219,0.009446016512811184,298.5129089355469,1250170.625,0.33069121837615967,336.8971252441406
1860.0,52786.24609375,265810080.0,36.95987319946289,67556.6796875,277.51165771484375,0.009839138947427273,297.6197204589844,1257611.125,0.3672669231891632,346.07879638671875
1885.0,52190.87890625,267114848.0,39.57401657104492,68546.03125,277.780029296875,0.010294846259057522,296.71240234375,1265028.875,0.4116462469100952,356.36993408203125
1910.0,51452.25390625,268401152.0,42.62866973876953,69611.75,278.05096435546875,0.010809251107275486,295.79150390625,1272423.75,0.4658191204071045,368.0154113769531
1935.0,50741.91796875,269669696.0,46.37398147583008,70771.1015625,278.3177795410156,0.011392106302082539,294.8612976074219,1279795.25,0.5343851447105408,381.37506103515625
1960.0,49993.77734375,270919552.0,50.77839660644531,72040.5625,278.5766906738281,0.012038873508572578,293.92236328125,1287143.25,0.6187639236450195,396.8441467285156
1985.0,48993.40625,272144384.0,56.26509475708008,73447.1875,278.8310852050781,0.012707560323178768,292.982421875,1294467.875,0.7241948246955872,414.94903564453125
2010.0,47913.71875,273342208.0,63.077762603759766,75024.1328125,279.0748596191406,0.013391095213592052,292.0556945800781,1301769.25,0.8561450839042664,436.3526611328125
2035.0,46561.2734375,274506240.0,71.442626953125,76810.1953125,279.3088684082031,0.014047081582248211,291.14923095703125,1309048.0,1.0178583860397339,461.7991027832031
2060.0,44922.90625,275629312.0,81.5509033203125,78848.96875,279.5334777832031,0.014611100777983665,290.27508544921875,1316304.875,1.2092164754867554,492.0295104980469
2085.0,42984.80859375,276703936.0,93.44351196289062,81185.0546875,279.7488098144531,0.015163472853600979,289.4349670410156,1323540.75,1.4387444257736206,527.9981079101562
2110.0,41148.70703125,277732672.0,105.71460723876953,83827.921875,279.9483642578125,0.015694931149482727,288.6173095703125,1330756.125,1.685639500617981,570.1390991210938
2135.0,41554.3125,278771520.0,125.95098114013672,86976.6953125,282.8053283691406,0.016382316127419472,575.3671875,1345140.375,2.0977344512939453,622.5824584960938
2160.0,44403.828125,279881632.0,156.683837890625,90893.7890625,286.43475341796875,0.01757710613310337,673.7084350585938,1361983.125,2.8033227920532227,692.66552734375
2185.0,48636.01953125,281097504.0,200.27145385742188,95900.578125,290.87139892578125,0.01954873465001583,789.42041015625,1381718.625,3.9931137561798096,792.493408203125
2210.0,54208.55078125,282452736.0,251.8657684326172,102197.21875,295.8204650878906,0.02237687073647976,871.48193359375,1403505.625,5.764969825744629,936.6176147460938
2235.0,59961.0703125,283951744.0,311.3350524902344,109980.6015625,300.8858947753906,0.02660515531897545,939.87890625,1427002.625,8.509513854980469,1149.35546875
2260.0,65278.66015625,285583712.0,372.5292663574219,119293.828125,305.6363525390625,0.03382665663957596,972.8309326171875,1451323.375,13.042607307434082,1475.420654296875
2285.0,70394.8671875,287343584.0,426.0567321777344,129945.25,310.010009765625,0.04429806023836136,990.97705078125,1476097.75,19.74829864501953,1969.128173828125
2310.0,74210.78125,289198880.0,472.72039794921875,141763.265625,313.89483642578125,0.05976960435509682,1007.9437866210938,1501296.375,30.050411224365234,2720.388427734375
2335.0,76466.9140625,291110528.0,510.70416259765625,154530.859375,317.4215087890625,0.08125575631856918,1020.71240234375,1526814.25,45.16779708862305,3849.583251953125
2360.0,77338.4765625,293044000.0,537.6785888671875,167972.828125,320.38836669921875,0.10925193130970001,1022.4200439453125,1552374.75,65.94729614257812,5498.265625
2385.0,77156.28125,294972896.0,550.9313354492188,181746.109375,322.9326171875,0.14317317306995392,1024.6944580078125,1577992.125,92.05895233154297,7799.73974609375
2410.0,76313.2578125,296880736.0,553.0504760742188,195572.375,325.13677978515625,0.18211700022220612,1028.2105712890625,1603697.375,123.1470718383789,10878.416015625
2435.0,75405.578125,298765888.0,544.8903198242188,209194.625,327.108642578125,0.22369784116744995,1031.7139892578125,1629490.125,157.0146026611328,14803.78125
2460.0,74039.7734375,300616864.0,534.2879638671875,222551.828125,328.9128112792969,0.26572030782699585,1034.706787109375,1655357.875,193.34751892089844,19637.46875
2485.0,72022.3515625,302417440.0,519.7559204101562,235545.71875,330.49993896484375,0.30742156505584717,1037.56640625,1681297.0,230.7091522216797,25405.197265625
2510.0,69703.046875,304160000.0,503.9504699707031,248144.484375,331.9088134765625,0.3475038409233093,1040.22998046875,1707302.75,268.3919677734375,32114.998046875
2535.0,67387.71875,305844704.0,489.0023193359375,260369.546875,333.1607360839844,0.38378435373306274,1042.5677490234375,1733367.0,304.5548095703125,39728.8671875
2560.0,65119.62890625,307472704.0,474.1658935546875,272223.6875,334.2489013671875,0.41670531034469604,1044.8109130859375,1759487.25,338.7437438964844,48197.4609375
2585.0,63164.7890625,309051808.0,461.34783935546875,283757.375,335.2430114746094,0.44486552476882935,1047.13818359375,1785665.625,369.70819091796875,57440.16796875
2610.0,61578.28125,310591264.0,451.0636291503906,295033.96875,336.0946960449219,0.4672093987464905,1049.4976806640625,1811903.125,395.54217529296875,67328.71875
2635.0,60265.203125,312097888.0,442.2804870605469,306091.0,336.8285217285156,0.48561426997184753,1051.985595703125,1838202.75,417.5421447753906,77767.2734375
2660.0,59187.0234375,313577568.0,434.786376953125,316960.65625,337.4623718261719,0.5008925199508667,1054.3583984375,1864561.75,436.34136962890625,88675.8046875
2685.0,58343.8046875,315036160.0,428.7887878417969,327680.375,337.9997253417969,0.5134894847869873,1056.4166259765625,1890972.125,452.56689453125,99989.984375
2710.0,57708.87890625,316478880.0,424.1206970214844,338283.375,338.4376220703125,0.5233816504478455,1057.3192138671875,1917405.125,465.7331848144531,111633.3125
2735.0,57246.61328125,317910048.0,420.60498046875,348798.5,338.7959899902344,0.5310347080230713,1058.5279541015625,1943868.375,476.2737121582031,123540.15625
2760.0,56919.3359375,319333056.0,418.0304870605469,359249.28125,339.0923156738281,0.5369013547897339,1059.87158203125,1970365.125,484.6507873535156,135656.421875
2785.0,56697.9375,320750496.0,416.230712890625,369655.03125,339.3411560058594,0.541313886642456,1061.2862548828125,1996897.25,491.21063232421875,147936.6875
2810.0,56563.9296875,322164576.0,415.105712890625,380032.6875,339.5506896972656,0.544541597366333,1062.700439453125,2023464.75,496.29638671875,160344.09375
2835.0,56498.7421875,323577056.0,414.5397033691406,390396.1875,339.7309875488281,0.5468028783798218,1064.1004638671875,2050067.25,500.16094970703125,172848.125
2860.0,56487.03125,324989216.0,414.4333801269531,400757.0,339.88836669921875,0.5482466816902161,1065.413818359375,2076702.625,502.95526123046875,185422.0
2885.0,56513.9375,326402080.0,414.679931640625,411124.0,340.02783203125,0.5490294098854065,1066.5623779296875,2103366.75,504.8477783203125,198043.203125
2910.0,56576.46484375,327816480.0,415.2592468261719,421505.5,340.1534118652344,0.5492682456970215,1067.6390380859375,2130057.75,506.0408935546875,210694.21875
2935.0,56665.984375,329233152.0,416.104248046875,431908.09375,340.2685852050781,0.5490535497665405,1068.6356201171875,2156773.5,506.631103515625,223360.0
2960.0,56781.30078125,330652672.0,417.2056579589844,442338.25,340.3743896484375,0.5484803915023804,1069.591064453125,2183513.25,506.7977600097656,236029.9375
3010.0,57068.53515625,333506112.0,420.0538330078125,463340.9375,340.5614013671875,0.5462761521339417,1071.0826416015625,2237067.5,505.7380676269531,261316.84375
